medicine_name,category,recommendations,note
Azithromycin,Antibiotic,"Azee, Azithral",Use alternatives only after doctor consultation.
Paracetamol,Fever / Pain Relief,"Crocin, Calpol, Dolo 650",Use alternatives only after doctor consultation.
Cetirizine,Allergy Relief,"Levocetirizine, Allegra, Fexofenadine",Use alternatives only after doctor consultation.
