"medicine_name","category","rxcui","source"
"1-(2,3,8,8-tetramethyl-1,2,3,4,5,6,7,8-octahydronaphthalen-2-yl)ethanone, trans-(+/-)-","RxNav Ingredient","2570563","RxNav"
"1-(2,3,8,8-tetramethyl-1,2,3,5,6,7,8,8a-octahydronaphthalen-2-yl)ethanone","RxNav Ingredient","2396430","RxNav"
"1-(2,4-dichlorophenyl)ethanol","RxNav Ingredient","1807445","RxNav"
"1-(3,4-dimethoxyphenyl)propane-1,2-diol","RxNav Ingredient","2374549","RxNav"
"1-(3,5-bis(trifluoromethyl)phenyl)ethanol","RxNav Ingredient","2053486","RxNav"
"1-(3-amino-4-hydroxyphenyl)-2-((2-(4-methoxyphenyl)-1-methylethyl)amino)ethanol","RxNav Ingredient","2283758","RxNav"
"1-(4-(4-chlorophenyl)-3-phenyl-2-butenyl)-pyrrolidine 1,5-naphthalenedisulfonate","RxNav Ingredient","1307555","RxNav"
"1-(4-chlorophenyl)-1-phenylethanol","RxNav Ingredient","1740931","RxNav"
"1-(4-hydroxy-3-methoxyphenyl)-decan-3-one","RxNav Ingredient","1928181","RxNav"
"1-(c14-c18 esteroyl)-2-docosahexanoyl-sn-glycero-3-phosphocholine","RxNav Ingredient","1591920","RxNav"
"1-(c14-c18 esteroyl)-2-docosahexanoyl-sn-glycero-3-phosphoethanolamine","RxNav Ingredient","1591921","RxNav"
"1-(ethyltrisulfanyl)propane","RxNav Ingredient","2603742","RxNav"
"1-alpha-vitamin d","RxNav Ingredient","350465","RxNav"
"1-aminobutan-2-ol","RxNav Ingredient","2375706","RxNav"
"1-aminocyclopropanol","RxNav Ingredient","2645303","RxNav"
"1-bromo-3-chloro-5,5-dimethyl-2,4-imidazolidinedione","RxNav Ingredient","2374349","RxNav"
"1-butanol, 4-(ethenyloxy)-","RxNav Ingredient","2289429","RxNav"
"1-butene","RxNav Ingredient","1362691","RxNav"
"1-butyl oleate","RxNav Ingredient","1368213","RxNav"
"1-chloro-2-methyl-1-propene","RxNav Ingredient","2469243","RxNav"
"1-chloronaphthalene","RxNav Ingredient","2673865","RxNav"
"1-decene","RxNav Ingredient","1307761","RxNav"
"1-dehydro-7.alpha.-methyltestosterone","RxNav Ingredient","2610241","RxNav"
"1-dodecylperhydroazepine-1-oxide","RxNav Ingredient","2695988","RxNav"
"1-eicosene","RxNav Ingredient","1313731","RxNav"
"1-ethoxyundecane","RxNav Ingredient","2671359","RxNav"
"1-ethyl citrate","RxNav Ingredient","2587731","RxNav"
"1-ethyl-2-pyrrolecarboxaldehyde","RxNav Ingredient","1368194","RxNav"
"1-glyceryl monooleate","RxNav Ingredient","1426374","RxNav"
"1-hexadecene","RxNav Ingredient","1313219","RxNav"
"1-hexadecyl-5-ethyl-2-methylpyridinium bromide","RxNav Ingredient","2394501","RxNav"
"1-kestose","RxNav Ingredient","2590592","RxNav"
"1-methyl-2-pyrrolidinone","RxNav Ingredient","1305552","RxNav"
"1-methylcyclohexa-1,3-diene","RxNav Ingredient","2174382","RxNav"
"1-methylhydantoin","RxNav Ingredient","1729875","RxNav"
"1-myristylpicolinium","RxNav Ingredient","1425941","RxNav"
"1-naphthalenesulfonic acid","RxNav Ingredient","1442718","RxNav"
"1-naphthol","RxNav Ingredient","1740233","RxNav"
"1-o-(2-methoxy-4-hexadecenyl)glycerol","RxNav Ingredient","2370136","RxNav"
"1-o-tetradecylglycerol","RxNav Ingredient","2287736","RxNav"
"1-octacosanol","RxNav Ingredient","12166","RxNav"
