medicine_name,category,confidence,detection_method,score
Amoxicillin 500 Mg,RxNav Clinical Drug Component,High,Exact Phrase Match,1.0
Pantoprazole,Acidity Relief,High,Exact Phrase Match,1.0
Water,RxNav Ingredient,High,Exact Phrase Match,1.0
Medicone,RxNav Brand Name,High,Fuzzy Match (Typo Detection),0.88
Truprofen,RxNav Brand Name,High,Fuzzy Match (Typo Detection),0.89
